State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,-32,-22,-36,-36,-36,-34,-33,-28,-18,-26,-26,-23,-18,-12,-6,1,1,0,1,1,1,2,5,5,2,1,1,2,2,4,4,1,1,0,-2,-1,2,5,1,0,1,0,-16
Alaska,-33,-30,-40,-42,-42,-39,-36,-23,-20,-24,-25,-22,-16,-13,-5,-1,-6,-9,-8,-8,-9,-4,3,2,1,2,3,2,2,5,5,5,2,3,3,3,2,4,5,1,-3,-4,-32
Arizona,-33,-29,-41,-42,-41,-39,-37,-29,-23,-31,-33,-31,-26,-21,-9,-3,-8,-12,-11,-9,-7,-3,1,1,2,2,3,3,3,2,2,2,2,2,3,2,0,-4,0,-1,1,0,-25
Arkansas,-27,-23,-36,-36,-35,-35,-32,-27,-16,-24,-25,-22,-20,-17,-7,-1,-1,0,3,3,2,2,4,4,3,3,3,3,3,3,4,3,3,3,2,1,1,3,2,2,3,0,-16
California,-39,-37,-49,-51,-51,-50,-49,-38,-33,-42,-41,-38,-34,-27,-13,-7,-7,-6,-4,-3,-1,1,1,2,2,2,2,3,3,2,3,3,2,3,3,3,1,1,1,0,0,-2,-38
Colorado,-40,-40,-52,-53,-50,-47,-42,-34,-30,-43,-46,-40,-35,-25,-13,-6,-7,-4,0,1,5,5,2,3,2,2,3,5,5,3,3,3,2,2,3,7,0,4,2,0,0,-5,-20
Connecticut,-38,-35,-47,-48,-49,-48,-45,-31,-26,-35,-36,-34,-32,-26,-13,-5,-9,-6,-1,0,2,2,2,2,2,3,3,3,4,3,3,3,3,2,3,3,2,3,1,1,-1,-9,-28
Delaware,-37,-34,-44,-45,-46,-44,-40,-31,-22,-32,-33,-31,-28,-21,-12,-3,-3,-3,0,1,2,2,4,4,2,2,2,3,4,4,5,2,2,2,3,3,2,5,2,2,2,2,-22
Florida,-41,-36,-42,-42,-41,-39,-37,-33,-27,-30,-29,-27,-23,-19,-10,-3,-4,-3,-1,0,0,0,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,0,-18
Georgia,-37,-28,-42,-42,-42,-41,-38,-31,-20,-29,-31,-30,-26,-21,-12,-3,-5,-4,-1,-1,1,1,3,3,0,-1,0,2,2,3,3,2,2,2,2,1,1,3,-3,-4,-3,-6,-18
