State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Nebraska,-34,-44,-35,-34,-30,-31,-30,-38,-39,-34,-33,-25,-18,-8,-10,-15,-4,6,9,6,3,8,12,11,10,9,11,10,12,16,13,10,7,8,2,6,11,11,7,0,-5,5,7
Nevada,-47,-47,-43,-42,-41,-40,-41,-46,-46,-39,-36,-29,-16,-7,-6,-6,-1,2,4,3,3,4,3,2,4,6,7,8,6,7,7,6,8,8,5,4,4,0,3,3,1,2,5
New Hampshire,-58,-51,-38,-34,-38,-42,-38,-41,-40,-34,-33,-25,-22,-7,-5,-5,-3,4,7,7,8,9,8,4,3,6,7,8,7,8,4,2,3,7,4,6,6,3,2,7,6,-10,20
New Jersey,-59,-59,-49,-46,-51,-46,-55,-57,-45,-37,-35,-31,-28,-16,-13,-10,-3,3,6,6,7,8,8,4,2,7,6,5,7,8,5,2,3,2,-1,2,6,6,0,1,2,1,14
New Mexico,-44,-46,-43,-41,-41,-39,-27,-35,-37,-30,-25,-18,-12,-5,-6,-6,-1,8,13,12,12,10,10,9,10,13,13,13,14,16,12,12,13,10,4,4,2,2,3,4,2,4,8
New York,-62,-61,-54,-52,-56,-54,-61,-55,-47,-41,-39,-34,-31,-20,-14,-10,-7,-2,2,2,4,9,10,5,3,7,6,5,7,9,5,0,0,3,0,4,9,7,0,2,3,-2,7
North Carolina,-40,-40,-35,-35,-29,-31,-32,-38,-34,-26,-24,-22,-15,-7,-7,-3,3,7,8,7,8,9,9,8,6,7,10,12,12,14,13,11,10,8,4,0,3,2,-8,-9,1,1,5
North Dakota,-44,-48,-40,-39,-39,-40,-38,-47,-51,-43,-32,-22,-13,-6,-7,-4,1,7,8,6,5,8,12,11,7,7,7,6,8,12,11,8,8,6,1,3,12,11,4,4,0,-1,9
Ohio,-43,-50,-46,-42,-43,-50,-35,-37,-43,-37,-33,-30,-26,-19,-11,-11,-5,5,8,6,8,12,14,8,6,11,12,10,11,15,9,4,3,6,3,3,8,8,2,2,3,1,5
Oklahoma,-36,-37,-34,-29,-22,-24,-28,-37,-36,-28,-22,-14,-10,-4,-4,-5,0,10,15,12,8,7,9,10,12,14,15,15,13,17,14,15,15,12,3,0,1,3,2,2,5,0,3
Oregon,-51,-54,-50,-46,-45,-47,-39,-37,-39,-33,-29,-26,-23,-10,-9,-15,-9,1,7,8,7,8,7,3,4,8,10,9,11,14,8,8,10,10,8,6,9,6,4,4,4,4,10
Pennsylvania,-50,-58,-46,-44,-48,-45,-49,-47,-48,-40,-36,-34,-30,-13,-7,-7,-2,6,8,7,8,12,13,6,4,9,9,9,11,14,8,4,4,7,3,4,11,7,1,1,1,1,8
Rhode Island,-55,-46,-40,-38,-43,-40,-41,-42,-40,-34,-35,-30,-30,-15,-11,-10,-4,3,7,8,11,12,8,5,6,9,9,9,11,11,7,7,7,7,5,8,11,7,3,4,4,0,13
South Carolina,-38,-35,-32,-31,-30,-35,-34,-38,-33,-26,-23,-20,-11,-3,1,4,7,10,10,9,9,10,11,10,6,4,8,10,12,15,14,12,12,9,4,0,5,5,1,-6,1,-1,6
South Dakota,-35,-49,-37,-37,-35,-29,-24,-30,-33,-27,-28,-18,-10,-7,-7,-16,-7,2,6,8,7,12,16,12,8,6,8,8,11,17,13,10,6,2,-8,-1,12,6,3,0,-5,-4,3
Tennessee,-35,-38,-34,-31,-33,-38,-33,-36,-34,-28,-19,-15,-11,-6,-7,-6,0,5,8,8,8,11,12,9,8,11,14,13,11,16,14,9,11,9,5,-1,3,5,0,-4,3,-2,6
Texas,-45,-47,-42,-39,-39,-31,-31,-40,-40,-32,-24,-18,-13,-6,-7,-8,-2,7,11,11,8,8,7,6,8,9,8,10,10,13,10,10,11,9,5,3,4,3,1,-1,-2,-1,6
Utah,-41,-46,-38,-36,-34,-33,-31,-33,-39,-35,-31,-27,-20,-10,-7,-11,-6,6,9,8,8,10,8,6,8,9,9,10,7,3,6,8,10,9,6,6,10,3,4,4,3,2,17
Vermont,-62,-59,-54,-53,-41,-45,-44,-47,-46,-42,-38,-32,-25,-11,-7,-6,-4,0,3,2,5,11,12,7,4,5,8,13,12,12,5,1,-2,6,5,9,11,8,5,7,5,-4,19
Virginia,-39,-42,-37,-35,-39,-32,-33,-38,-37,-28,-23,-21,-15,-9,-12,-10,-1,6,7,7,7,7,7,4,4,7,11,11,8,9,6,6,6,6,3,2,5,3,-3,-2,2,2,8
Washington,-48,-55,-51,-49,-44,-41,-37,-38,-42,-35,-31,-29,-27,-17,-11,-16,-13,-4,0,1,2,4,2,-2,0,3,6,5,9,14,7,7,9,8,5,4,9,4,3,4,4,5,12
West Virginia,-38,-42,-43,-40,-46,-37,-34,-39,-36,-31,-24,-19,-8,-2,-2,-1,4,10,11,11,12,15,15,7,6,14,17,17,15,19,11,7,7,13,8,5,8,7,0,2,4,3,5
Wisconsin,-55,-58,-51,-51,-52,-47,-38,-48,-48,-42,-40,-35,-24,-13,-6,-5,0,5,6,6,3,9,16,10,5,6,7,6,10,17,11,5,4,3,0,4,15,10,2,0,-1,-1,-6
Wyoming,-37,-43,-42,-37,-35,-32,-28,-37,-39,-38,-33,-18,-9,-2,-3,-6,-5,2,7,8,9,9,11,11,9,10,10,9,3,4,12,10,9,6,-1,0,8,7,3,4,0,2,2
