State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
North Carolina,13,37,38,13,5,-6,-16,-8,36,60,47,31,18,20,5,36,45,41,48,43,52,52,45,35,9,4,18,26,28,23,24,16,8,13,13,2,25,24,-15,-29,-8,15,44
North Dakota,73,39,33,19,3,3,17,24,-8,-15,-20,-11,-1,-10,-14,-13,-2,5,14,15,13,9,25,35,19,13,11,11,4,6,19,12,10,8,0,8,19,28,11,6,-5,-5,4
Ohio,117,31,26,98,101,21,0,52,14,39,22,5,20,19,36,22,33,49,35,18,48,134,128,40,28,42,27,12,19,50,11,3,-5,-2,2,14,76,61,17,3,13,6,10
Oklahoma,29,13,24,54,71,53,6,-22,-12,-10,17,42,13,-12,-19,-23,-18,39,74,68,37,8,32,54,46,38,34,32,31,65,49,31,20,6,4,-18,-30,9,1,-2,20,9,27
Oregon,-22,-25,-28,-2,3,-14,-6,39,75,69,74,76,66,56,28,-2,-9,24,51,65,65,41,20,7,15,46,50,30,17,18,13,31,50,49,40,20,2,67,36,34,51,43,73
Pennsylvania,7,-52,24,51,-22,5,-44,24,23,16,3,23,6,6,46,48,35,37,33,22,63,116,77,10,13,33,18,14,34,25,-2,1,2,6,9,48,92,46,7,11,17,14,42
Rhode Island,-50,96,134,139,9,57,-10,48,131,74,0,76,23,27,69,92,30,17,47,61,119,115,52,22,29,40,38,51,21,8,22,3,6,10,33,91,103,77,2,8,14,-6,89
South Carolina,-4,12,6,-4,-2,-25,-22,-22,28,32,32,15,7,11,14,47,50,42,43,37,44,46,46,38,1,-19,-5,10,21,29,31,10,4,-6,-3,-3,19,23,-10,-27,-13,-9,36
South Dakota,126,-14,16,13,-9,42,47,37,6,-6,-19,11,29,11,1,-27,-7,13,35,34,23,54,76,53,27,22,26,16,14,19,21,11,5,-1,-12,6,44,32,20,6,-4,-3,-6
Tennessee,35,48,40,56,36,-22,-18,-1,9,-12,25,26,12,10,2,17,28,29,38,34,37,64,85,59,29,34,37,22,17,59,45,12,9,7,17,-14,16,54,4,-15,11,-9,45
Texas,-27,-35,-19,-3,-6,-3,-12,-36,-44,-35,1,11,4,-1,-12,-8,1,31,49,44,22,9,16,21,27,16,1,13,7,15,28,20,19,3,9,-1,-7,11,-3,-13,-12,-3,21
Utah,26,-1,13,-1,1,25,20,73,54,27,11,12,73,72,66,33,13,44,57,66,56,28,33,53,63,59,44,26,1,0,40,45,34,25,19,14,39,23,24,17,14,22,40
Vermont,-55,20,3,5,-11,-12,-26,10,10,-9,-2,16,-3,7,12,18,-2,-2,0,-1,29,50,38,19,11,6,10,18,5,16,9,-10,-17,-3,8,25,48,46,6,3,7,-1,42
Virginia,46,24,41,35,-22,23,-21,8,8,48,61,35,45,23,-5,20,43,45,42,40,53,63,45,17,11,27,39,32,21,16,1,6,5,8,9,11,41,27,-7,-5,8,23,40
Washington,-11,-26,-20,-15,5,-2,-4,24,67,84,87,91,70,50,33,12,-8,18,43,41,43,41,26,16,17,36,43,12,5,28,31,38,54,45,32,10,-2,45,55,54,59,53,61
West Virginia,52,60,5,25,-11,3,-18,24,6,11,10,14,10,5,7,18,22,32,29,14,29,70,59,15,10,24,20,6,15,28,2,-4,-4,8,8,12,49,37,3,1,11,6,15
Wisconsin,-12,-25,30,16,41,43,27,26,24,0,-14,-8,40,22,34,17,9,11,13,28,17,68,93,34,11,15,21,17,44,70,22,6,5,7,8,20,63,44,7,-1,2,16,0
Wyoming,29,-8,-4,11,1,10,30,13,17,-9,-24,5,22,18,7,-9,-6,2,11,16,17,11,21,36,26,13,5,2,-7,-11,13,16,4,0,-4,1,9,16,13,3,-2,3,2
