"GEIOD","NAME","median_age_2018","pct_male_2018","pct_female_2018","pct_white_only_2018","pct_black_only_2018","pct_american_indian.alaskan_native_only_2018","pct_asian_only_2018","pct_hawaiian_or_pacific_islander_only_2018","pct_some_other_race_alone_2018","pct_2_or_more_races_2018","pct_hispanic_or_latino_2018","pct_taking_Public_transportation_2018","pct_no_workers_in_household_2018","pct_1_workers_in_household_2018","pct_2_workers_in_household_2018","pct_3_or_more_workers_in_household_2018","pct_1.person_household_2018","pct_2.person_household_2018","pct_3.person_household_2018","pct_4.or.more.person_household_2018","pct_in_labor_force_employed_2018","pct_in_labor_force_unemployed_2018","pct_poverty_income_ratio_under_100","pct_poverty_income_ratio_100to200","pct_poverty_income_ratio_200andmore"
28151,"Washington County, Mississippi",36.9,0.467612453807926,0.532387546192074,0.256912882810177,0.72170071783545,0.00118931317164338,0.00598904132863271,0,0.00830395446629571,0.00590409038780104,0.0154823089665718,0.00035644270183568,0.371987540302749,0.41171648723974,0.190556861030657,0.0257391114268539,0.332859719110334,0.322913820427346,0.137111317558337,0.207115142903984,0.579272375567294,0.107023286957816,0.333046767537827,0.299604539202201,0.411128782668501
28111,"Perry County, Mississippi",40.9,0.485949451280346,0.514050548719654,0.787745261057532,0.196873960758231,0,0.00141336880611906,0,0.00133022946458264,0.0126371799135351,0.0150482208180911,0,0.366425597194828,0.392066622835854,0.193732193732194,0.0477755862371247,0.276572430418584,0.285776901161517,0.203813280736358,0.233837387683542,0.611397479954181,0.0428121420389462,0.187242971044901,0.326647083508183,0.548300461603021
28019,"Choctaw County, Mississippi",44,0.501622401153707,0.498377598846293,0.676721547890878,0.311981732964788,0.00276409085446461,0.00180266794856387,0.000961422905900733,0.00156231222208869,0.00420622521331571,0.00396586948684052,0.00301003344481605,0.445006321112516,0.316687737041719,0.219342604298357,0.0189633375474083,0.393489254108723,0.309734513274336,0.147597977243995,0.149178255372946,0.623405191377035,0.0534535855697316,0.232856438085841,0.296127281697089,0.552417365564874
28057,"Itawamba County, Mississippi",40,0.503449744463373,0.496550255536627,0.909114139693356,0.0715928449744463,0.00319420783645656,0.00242759795570698,0.000298126064735946,0.00724020442930153,0.00613287904599659,0.0153321976149915,0.00182012847965739,0.367792327130714,0.297151389846083,0.300367562600505,0.034688720422697,0.257408683666437,0.357569492304158,0.181943487250172,0.203078336779233,0.638551604509974,0.0296328418618098,0.153584229390681,0.325268817204301,0.554614695340502
28015,"Carroll County, Mississippi",47,0.505084411096851,0.494915588903149,0.643992496791391,0.345838681014908,0.000592358574390364,0,0,0,0.00957646361931089,0.00286306644288676,0,0.414980863860033,0.349097867687261,0.231000546746856,0.00492072170585019,0.26271186440678,0.420174958993986,0.136686714051394,0.18042646254784,0.570932358318099,0.0617915904936015,0.148248519522232,0.279233162701997,0.647395362842517
28043,"Grenada County, Mississippi",39.8,0.474809662562271,0.525190337437729,0.551555597330576,0.434157345615189,0.006344581257637,0.00108092865870853,0,0.000751950371275496,0.0061095967666134,0.00657956574866059,0.00283705439743432,0.358706225680934,0.397738326848249,0.207076848249027,0.0364785992217899,0.298151750972763,0.327577821011673,0.189080739299611,0.185189688715953,0.656749218155693,0.0486856563265996,0.244947064485082,0.321318575553417,0.532098171318576
28063,"Jefferson County, Mississippi",39.3,0.495780016335421,0.504219983664579,0.133269806697522,0.858970868499864,0.00149741355839913,0.00449224067519739,0,0.000952899537163082,0.00081677103185407,0.00381159814865233,0,0.500395256916996,0.36600790513834,0.133201581027668,0.000395256916996047,0.371936758893281,0.315810276679842,0.143873517786561,0.168379446640316,0.421527947278496,0.0356358310959238,0.497235961594414,0.198283386674425,0.33590340413151
28041,"Greene County, Mississippi",39.1,0.604783432988187,0.395216567011813,0.733119439988333,0.254921977541199,0.00386466384716348,0,0,0.00029167274318215,0.0078022458801225,0.0118127460988771,0,0.393815915627996,0.374400767018217,0.204458293384468,0.0273250239693193,0.295541706615532,0.364813039309684,0.135186960690316,0.204458293384468,0.634095991742646,0.0557371408911061,0.145120031483668,0.165289256198347,0.697461629279811
28093,"Marshall County, Mississippi",40.2,0.495598960516389,0.504401039483611,0.493391454997625,0.478777209601252,0.000419146617486797,0.000670634587978875,0,0.01788358901277,0.00885796518288764,0.0357951211333725,0.0046099546207592,0.323236958849625,0.38978124521952,0.254474529600734,0.0325072663301208,0.271990209576258,0.389628269848554,0.135536178675233,0.202845341899954,0.638045748142392,0.044485454810354,0.182970744918306,0.302699324424868,0.583435016814976
28119,"Quitman County, Mississippi",38.4,0.471513836136734,0.528486163863266,0.274959305480195,0.716494845360825,0,0.000678241996744438,0,0.00542593597395551,0.00244167118827998,0.014514378730331,0,0.443535188216039,0.397381342062193,0.148936170212766,0.0101472995090016,0.387234042553191,0.26481178396072,0.149263502454992,0.198690671031097,0.504891434025292,0.186828919112384,0.354618809126322,0.379799666110184,0.328185865331107
28011,"Bolivar County, Mississippi",35.2,0.47143470790378,0.52856529209622,0.331461708394698,0.642519636720668,0.00125797741777123,0.00653534609720177,0,0.0111377025036819,0.00708762886597938,0.0215083456062838,0.00132200188857413,0.421827452915536,0.379307508841188,0.180442470597911,0.0184225676453656,0.32913890944979,0.301669545192861,0.17081996874743,0.198371576609919,0.535716185309292,0.0626030530290942,0.345702495325295,0.314752724224644,0.404764975175704
