"Rank","RO","state_id","state_name","county_name","county_fips","IATA1","ICAO","Name","City.x","City.y","city","S/L","Hub","Latitude","Longitude","CY 18 Enplanements","CY 17 Enplanements","% Change","Altitude","Timezone","timezone","DST","Tz database","Type","Source"
562,"AL","AK","Alaska","Kusilvak",2158,"RSH","PARS","Russian Mission Airport","Russian Mission","Russian Mission","Russian Mission","CS","None",61.7788848877,-161.319458008,2506,2132,0.1754,51,-9,"America/Anchorage","A","America/Anchorage","airport","OurAirports"
463,"NE","VT","Vermont","Rutland",50021,"RUT","KRUT","Rutland - Southern Vermont Regional Airport","Rutland","Rutland","Rutland","CS","None",43.52939987,-72.94960022,5554,5024,0.1055,787,-5,"America/New_York","A","America/New_York","airport","OurAirports"
40,"WP","CA","California","Sacramento",6067,"SMF","KSMF","Sacramento International Airport","Sacramento","Sacramento","Sacramento","P","M",38.6954002380371,-121.591003417969,5907629,5341595,0.106,27,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
215,"GL","MI","Michigan","Saginaw",26145,"MBS","KMBS","MBS International Airport","Saginaw","Saginaw","Saginaw","P","N",43.532901763916,-84.0795974731445,127627,110964,0.1502,668,-5,"America/Detroit","A","America/New_York","airport","OurAirports"
368,"CE","KS","Kansas","Saline",20169,"SLN","KSLN","Salina Municipal Airport","Salina","Salina","Salina","P","N",38.7910003662109,-97.6521987915039,15977,13850,0.1536,1288,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
264,"EA","MD","Maryland","Wicomico",24045,"SBY","KSBY","Salisbury Ocean City Wicomico Regional Airport","Salisbury","Salisbury","Salisbury","P","N",38.3404998779297,-75.5102996826172,64393,57421,0.1214,52,-5,"America/New_York","A","America/New_York","airport","OurAirports"
23,"NM","UT","Utah","Salt Lake",49035,"SLC","KSLC","Salt Lake City International Airport","Salt Lake City","Salt Lake City","Salt Lake City","P","L",40.7883987426758,-111.977996826172,12226730,11615954,0.0526,4227,-7,"America/Denver","A","America/Denver","airport","OurAirports"
272,"SW","TX","Texas","Tom Green",48451,"SJT","KSJT","San Angelo Regional Mathis Field","San Angelo","San Angelo","San Angelo","P","N",31.3577003479004,-100.496002197266,55301,59206,-0.066,1919,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
43,"SW","TX","Texas","Bexar",48029,"SAT","KSAT","San Antonio International Airport","San Antonio","San Antonio","San Antonio","P","M",29.5337009429932,-98.4698028564453,4844427,4382127,0.1055,809,-6,"America/Chicago","A","America/Chicago","airport","OurAirports"
24,"WP","CA","California","San Diego",6073,"SAN","KSAN","San Diego International Airport","San Diego","San Diego","San Diego","P","L",32.7336006165,-117.190002441,12174224,11139933,0.0928,17,-8,"America/Los_Angeles","A","America/Los_Angeles","airport","OurAirports"
