"FIPS","Name","State","Population","LandArea","TotalArea","CommutingByPublicTransportation","GDP","DayOfFirstCases","ConfirmedCasesDay25","lat","lon"
1003,"Baldwin County","AL",223234,4117546676,5250602512,82,6606080,53,364,30.66,-87.75
1051,"Elmore County","AL",81209,1601769095,1701726818,42,1902516,52,257,32.6,-86.14
1073,"Jefferson County","AL",658573,2878465205,2911350249,2694,46959136,52,4649,33.55,-86.9
1081,"Lee County","AL",164542,1573548952,1595041243,504,6818940,54,1643,32.6,-85.35
1083,"Limestone County","AL",98915,1450277885,1572607614,71,3717509,52,329,34.81,-86.98
1101,"Montgomery County","AL",226486,2033918497,2071762502,546,14237190,52,603,32.2,-86.2
1117,"Shelby County","AL",217702,2034112797,2096650584,30,11594728,54,1841,33.26,-86.68
1125,"Tuscaloosa County","AL",209355,3421009204,3499724554,283,9793605,52,580,33.29,-87.52
4009,"Graham County","AZ",38837,11972737302,12020215018,41,1234253,48,39,32.93,-109.88
4013,"Maricopa County","AZ",4485414,23825949527,23890186474,41442,247622633,5,26,33.35,-112.5
4019,"Pima County","AZ",1047279,23794796847,23800048217,11018,44876057,50,2450,32.13,-111.78
4021,"Pinal County","AZ",462789,13897458216,13919802591,310,7589136,46,517,32.92,-111.37
5051,"Garland County","AR",99386,1755290360,1902674297,195,3434549,54,622,34.58,-93.15
5069,"Jefferson County","AR",66824,2253242466,2366673554,41,3284170,50,587,34.28,-91.93
5119,"Pulaski County","AR",391911,1965579500,2091815879,1499,30084230,51,1738,34.77,-92.32
5125,"Saline County","AR",122437,1873977181,1891956867,23,2277673,6,4,34.65,-92.67
6001,"Alameda County","CA",1671329,1909598013,2126521758,115383,144494091,42,1398,37.65,-121.91
6009,"Calaveras County","CA",45905,2641829200,2685626859,189,1642450,52,72,38.19,-120.56
6013,"Contra Costa County","CA",1153526,1857233047,2082515683,56287,82436416,43,1343,37.92,-121.95
6019,"Fresno County","CA",999101,15431404077,15568749229,4609,47408857,47,529,36.76,-119.66
6023,"Humboldt County","CA",135558,9241527430,10495291187,1185,6817827,31,26,40.71,-123.93
6025,"Imperial County","CA",181215,10817292933,11607505214,493,8444865,50,502,33.04,-115.36
6037,"Los Angeles County","CA",10039107,10510671776,12305346943,286686,787176672,5,26,34.2,-118.26
6039,"Madera County","CA",157327,5534617472,5576863403,245,7201526,46,161,37.21,-119.75
6041,"Marin County","CA",258826,1347976788,2145005925,12241,23648191,50,1514,38.05,-122.75
6059,"Orange County","CA",3175692,2053294769,2455299613,31296,260484674,5,26,33.68,-117.78
6061,"Placer County","CA",398329,3644325262,3890819752,1988,24748629,41,286,39.06,-120.72
6065,"Riverside County","CA",2470546,18664901451,18915096148,12792,90768490,47,2750,33.73,-116
6067,"Sacramento County","CA",1552058,2500490904,2575385273,17270,96628861,31,219,38.45,-121.34
6069,"San Benito County","CA",62808,3596590995,3601310291,161,2759377,13,52,36.61,-121.09
6071,"San Bernardino County","CA",2180085,51954895600,52071990740,13197,96340623,54,4863,34.86,-116.18
6073,"San Diego County","CA",3338330,10900649391,11721344890,46506,245138815,21,53,33.02,-116.78
6075,"San Francisco County","CA",881549,121375681,600592353,172593,183171673,44,2641,37.73,-123.03
6077,"San Joaquin County","CA",762148,3606263159,3695237488,4485,32328427,52,2402,37.94,-121.27
6079,"San Luis Obispo County","CA",283111,8548611925,9364131097,1577,18520901,50,1107,35.39,-120.45
6081,"San Mateo County","CA",766573,1161960635,1919071180,42791,114862990,41,1672,37.41,-122.37
6083,"Santa Barbara County","CA",446499,7083976828,9813815108,6406,30191620,54,2127,34.54,-120.04
6085,"Santa Clara County","CA",1927852,3343896477,3377486343,41240,328260759,10,49,37.22,-121.69
6087,"Santa Cruz County","CA",273213,1152866293,1572537802,3834,15310247,48,607,37.01,-122.01
6089,"Shasta County","CA",180080,9778230074,9964709533,483,8723326,48,79,40.76,-122.04
6095,"Solano County","CA",447643,2128327622,2347027558,6004,26440606,48,604,38.27,-121.94
6097,"Sonoma County","CA",494336,4081491107,4578946411,4553,31959962,41,312,38.53,-122.95
6099,"Stanislaus County","CA",550660,3874662824,3921019213,1789,25133925,51,617,37.56,-121
6107,"Tulare County","CA",466195,12495083015,12532097659,1226,19137922,51,879,36.23,-118.78
6111,"Ventura County","CA",846006,4771968316,5719333321,4857,59631268,48,1390,34.36,-119.13
6113,"Yolo County","CA",220500,2628144763,2651023215,3961,15336770,45,184,38.68,-121.9
8001,"Adams County","CO",517421,3020592854,3065039959,9366,26808606,51,2647,39.87,-104.33
8005,"Arapahoe County","CO",656590,2066632437,2086132027,14115,48610332,48,3106,39.64,-104.33
8013,"Boulder County","CO",326196,1881290197,1917802841,8047,27533518,54,2317,40.09,-105.4
8019,"Clear Creek County","CO",9700,1023561805,1026836687,30,505016,54,104,39.69,-105.67
8031,"Denver County","CO",727211,397024697,401270097,25040,77455208,45,3421,39.76,-104.88
8035,"Douglas County","CO",351154,2176237637,2183034695,3280,17335732,46,1070,39.33,-104.93
8037,"Eagle County","CO",55127,4362761542,4381724900,1667,3903441,48,2814,39.63,-106.69
8041,"El Paso County","CO",720403,5508504028,5515601485,2556,37001039,46,1998,38.83,-104.53
8045,"Garfield County","CO",60061,7634105497,7655503898,1184,3893318,54,610,39.6,-107.91
8051,"Gunnison County","CO",17462,8389338082,8442405150,409,1120201,48,941,38.67,-107.08
8059,"Jefferson County","CO",582881,1979501357,2004827679,10458,33039256,49,3375,39.59,-105.25
8069,"Larimer County","CO",356899,6723008226,6822032893,2567,18783482,48,1044,40.66,-105.48
8077,"Mesa County","CO",154210,8621899288,8653339789,305,7017336,53,256,39.02,-108.46
8097,"Pitkin County","CO",17767,2514104904,2520577479,1721,2203979,51,573,39.22,-106.92
8101,"Pueblo County","CO",168424,6179916826,6210184320,656,6888420,52,324,38.17,-104.49
8107,"Routt County","CO",25638,6117602765,6133434509,434,1873786,52,303,40.48,-106.99
8117,"Summit County","CO",31011,1575590691,1603874160,946,2472134,45,146,39.62,-106.14
8123,"Weld County","CO",324492,10323763901,10403322265,757,19759560,52,4303,40.56,-104.38
9001,"Fairfield County","CT",943332,1618651428,2167944946,46650,89387658,48,15624,41.23,-73.37
9003,"Hartford County","CT",891720,1903543897,1944087674,14071,84111164,53,8362,41.81,-72.73
9005,"Litchfield County","CT",180333,2384116952,2446451477,1224,8742282,49,1242,41.79,-73.24
9009,"New Haven County","CT",854757,1565688367,2232769609,17343,53613901,53,11578,41.35,-72.9
10003,"New Castle County","DE",558753,1104149852,1279526142,10470,50522842,51,3284,39.58,-75.64
11001,"Washington","DC",705749,158340391,177027589,127530,140660945,47,4712,38.9,-77.02
12001,"Alachua County","FL",269043,2266324954,2509201961,4705,14129555,49,1064,29.68,-82.36
12003,"Baker County","FL",29210,1515738968,1525425088,0,654846,50,116,30.32,-82.3
12005,"Bay County","FL",174705,1964585684,2675853671,863,8649911,50,135,30.24,-85.63
12007,"Bradford County","FL",28201,761362115,778267316,60,733405,50,41,29.95,-82.17
12011,"Broward County","FL",1952778,3116026236,3426078723,24663,108572033,46,8582,26.19,-80.48
12015,"Charlotte County","FL",188910,1764058624,2222795311,147,5227779,48,217,26.87,-81.94
12017,"Citrus County","FL",149657,1507142282,2002690225,124,3989942,53,450,28.84,-82.52
12019,"Clay County","FL",219252,1566375291,1666778190,108,5095775,49,497,29.99,-81.86
12021,"Collier County","FL",384902,5170431469,5969863477,3303,17910636,49,1682,26.12,-81.4
12023,"Columbia County","FL",71686,2065645989,2075401962,19,2324177,50,64,30.22,-82.62
12027,"DeSoto County","FL",38001,1649027555,1655271103,517,883839,50,92,27.19,-81.81
12031,"Duval County","FL",957755,1975993782,2378801682,8160,66543822,49,2321,30.34,-81.65
12033,"Escambia County","FL",318316,1701544502,2265472114,901,16070346,50,889,30.61,-87.34
12035,"Flagler County","FL",115081,1256519758,1478438656,154,2432945,50,232,29.47,-81.29
12039,"Gadsden County","FL",45660,1337194435,1368880538,44,1329348,50,29,30.58,-84.61
12055,"Highlands County","FL",106221,2634768891,2866394435,343,2716127,50,214,27.34,-81.34
12057,"Hillsborough County","FL",1471968,2646574869,3278227864,10045,89665469,41,832,27.91,-82.35
12069,"Lake County","FL",367118,2462296203,2996475040,440,9314348,50,761,28.76,-81.71
12071,"Lee County","FL",770577,2025413418,3140030613,2183,30583564,46,1277,26.55,-81.89
12073,"Leon County","FL",293582,1727086019,1817634413,2530,16062854,50,344,30.46,-84.28
12081,"Manatee County","FL",403253,1924706077,2312213796,1138,14167026,47,522,27.48,-82.37
12083,"Marion County","FL",365579,4113955311,4306275873,554,10362585,50,315,29.2,-82.04
12086,"Miami-Dade County","FL",2716940,4917746437,6296721430,63929,164632057,51,31024,25.61,-80.5
12087,"Monroe County","FL",74228,2546027976,9679384520,594,4886461,50,346,25.6,-81.21
12089,"Nassau County","FL",88625,1680074654,1880125732,55,2530754,49,128,30.61,-81.76
12091,"Okaloosa County","FL",210738,2409293012,2802569391,321,11802635,47,381,30.67,-86.59
12095,"Orange County","FL",1393452,2337566033,2598283919,16294,98092581,52,6256,28.51,-81.32
12097,"Osceola County","FL",375751,3438755923,3900618596,1973,9501712,52,2105,28.06,-81.14
12099,"Palm Beach County","FL",1496770,5090938139,6172370367,11899,81536008,51,7969,26.65,-80.45
12101,"Pasco County","FL",553947,1933862570,2249275424,900,12705902,49,571,28.3,-82.46
