Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
875,AL,AK,4K0,Bristol Bay (Borough),Pedro Bay,GA,None,122,516,-76.36%
881,AL,AK,A63,Aniak (Census Subarea),Twin Hills,GA,None,120,110,9.09%
896,AL,AK,KCC,Coffman Cove,Coffman Cove,GA,None,110,127,-13.39%
900,AL,AK,AJC,Chignik,Chignik,GA,None,107,698,-84.67%
904,AL,AK,HRR,Yukon-Koyukuk (Census Area),Healy River,GA,None,105,66,59.09%
937,AL,AK,ALZ,Lazy Bay,Alitak,GA,None,86,106,-18.87%
950,AL,AK,WSN,South Naknek,South Naknek Nr 2,GA,None,81,79,2.53%
951,AL,AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,79,58,36.21%
966,AL,AK,RDV,Red Devil,Red Devil,GA,None,75,68,10.29%
969,AL,AK,CZN,Chisana,Chisana,GA,None,73,74,-1.35%
971,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,73,101,-27.72%
974,AL,AK,CKU,Cordova,Cordova Municipal,GA,None,72,0,0.00%
977,AL,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,71,99,-28.28%
978,AL,AK,96Z,North Whale Pass,Whale Pass Seaplane Float Harbor Facility,GA,None,71,57,24.56%
987,AL,AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,69,65,6.15%
994,AL,AK,Z78,Chignik,Chignik Bay,GA,None,67,137,-51.09%
995,AL,AK,GSZ,Granite Mountain,Granite Mountain AS,GA,None,66,37,78.38%
997,AL,AK,KCL,Chignik Flats,Chignik Lagoon,GA,None,66,437,-84.90%
1009,AL,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,61,61,0.00%
1010,AL,AK,9A8,Kodiak Island (Borough),Ugashik,GA,None,60,129,-53.49%
1013,AL,AK,TNC,Tin City,Tin City LRRS,GA,None,60,49,22.45%
1018,AL,AK,4Z7,Hyder,Hyder,GA,None,58,89,-34.83%
1034,AL,AK,KPB,Point Baker,Point Baker,GA,None,54,26,107.69%
1038,AL,AK,19P,Port Protection,Port Protection,GA,None,52,53,-1.89%
1051,AL,AK,KWP,West Point,West Point Village,GA,None,50,51,-1.96%
1052,AL,AK,KXA,Kasaan,Kasaan,GA,None,50,33,51.52%
1064,AL,AK,GKN,Eureka,Gulkana,GA,None,48,0,0.00%
1083,AL,AK,KOY,Olga Bay,Olga Bay,GA,None,44,38,15.79%
1085,AL,AK,UMT,Umiat,Umiat,GA,None,44,56,-21.43%
1113,AL,AK,ZNC,Nyac,Nyac,GA,None,39,23,69.57%
1115,AL,AK,KKB,Kitoi Bay,Kitoi Bay,GA,None,38,32,18.75%
1117,AL,AK,PAQ,Palmer,"Warren ""Bud"" Woods Palmer Municipal",GA,None,38,57,-33.33%
1124,AL,AK,WSJ,San Juan,San Juan /Uganik/,GA,None,37,39,-5.13%
1138,AL,AK,CKX,Chicken,Chicken,GA,None,34,14,142.86%
1152,AL,AK,KDK,Kodiak,Kodiak Municipal,GA,None,33,0,0.00%
1156,AL,AK,D66,Delta Junction,Delta Junction,GA,None,32,0,0.00%
1174,AL,AK,ENN,Nenana,Nenana Municipal,GA,None,29,4,625.00%
1195,AL,AK,L20,Yukon Charley Rivers,Coal Creek,GA,None,26,41,-36.59%
1201,AL,AK,2AK,Lime Village,Lime Village,GA,None,25,18,38.89%
1229,AL,AK,A79,Chignik Lake,Chignik Lake,GA,None,23,277,-91.70%
1232,AL,AK,FSP,Nikolai,Nikolai,GA,None,23,690,-96.67%
1239,AL,AK,WCR,Chandalar,Chandalar Lake,GA,None,23,18,27.78%
1249,AL,AK,KPY,Port Bailey,Port Bailey,GA,None,22,16,37.50%
1282,AL,AK,5NK,Naknek,Naknek,GA,None,19,17,11.76%
1285,AL,AK,CEM,Central,Central,GA,None,19,12,58.33%
1290,AL,AK,KMY,Moser Bay,Moser Bay,GA,None,19,21,-9.52%
1321,AL,AK,AK75,Candle,Candle 2,GA,None,16,14,14.29%
1332,AL,AK,AHP,Wrangell-Petersburg (Census Area),Port Alexander,GA,None,15,0,0.00%
1342,AL,AK,HYG,Hydaburg,Hydaburg,GA,None,15,23,-34.78%
1354,AL,AK,0AA4,Farewell,Farewell,GA,None,14,0,0.00%
1414,AL,AK,IYS,Wasilla,Wasilla,GA,None,11,8,37.50%
1420,AL,AK,SWD,Seward,Seward,GA,None,11,0,0.00%
1439,AL,AK,2AK6,Hogatza,Hog River,GA,None,9,15,-40.00%
1441,AL,AK,7KA,Matanuska-Susitna (Borough),Tatitlek,GA,None,9,505,-98.22%
1452,AL,AK,KPR,Port Williams,Port Williams,GA,None,9,16,-43.75%
1517,AL,AK,TCT,Takotna,Takotna,GA,None,7,402,-98.26%
1519,AL,AK,TKA,Talkeetna,Talkeetna,GA,None,7,0,0.00%
1555,AL,AK,SXQ,Soldotna,Soldotna,GA,None,6,28,-78.57%
1558,AL,AK,15Z,McCarthy,McCarthy,GA,None,5,0,0.00%
1561,AL,AK,4AK,Livengood,Livengood Camp,GA,None,5,0,0.00%
1605,AL,AK,3AK5,Kenai,Drift River,GA,None,4,0,0.00%
1658,AL,AK,0AA1,Yakataga,Yakataga,GA,None,3,0,0.00%
1663,AL,AK,76AK,Delta Junction,Pogo Mine Airstrip,GA,None,3,0,0.00%
1749,AL,AK,CXC,Matanuska-Susitna (Borough),Chitina,GA,None,2,0,0.00%
1756,AL,AK,FNR,Funter Bay,Funter Bay,GA,None,2,0,0.00%
1763,AL,AK,JLA,Cooper Landing,Quartz Creek,GA,None,2,5,-60.00%
1764,AL,AK,KKL,Karluk Lake,Karluk Lake,GA,None,2,2,0.00%
1777,AL,AK,MOS,Elim,Moses Point,GA,None,2,0,0.00%
1808,AL,AK,5AK4,Glennallen,Snowshoe Lake Airport and Seaplane Base,GA,None,1,0,0.00%
81,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,457,562","1,333,967",9.27%
117,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"580,932","519,003",11.93%
167,SO,AL,MOB,Mobile,Mobile Regional,P,N,"297,544","288,222",3.23%
196,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"170,544","152,773",11.63%
274,SO,AL,DHN,Dothan,Dothan Regional,P,N,"52,855","47,304",11.73%
449,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,"6,123","6,490",-5.65%
534,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,CS,None,"3,058","2,388",28.06%
648,SO,AL,BFM,Mobile,Mobile Downtown,GA,None,"1,087",947,14.78%
746,SO,AL,AUO,Auburn,Auburn University Regional,GA,None,377,310,21.61%
809,SO,AL,ANB,Anniston,Anniston Regional,GA,None,214,834,-74.34%
862,SO,AL,JKA,Gulf Shores,Jack Edwards National,GA,None,129,39,230.77%
906,SO,AL,CQF,Fairhope,H. L. (Sonny) Callahan,GA,None,104,5,1980.00%
964,SO,AL,MXF,Montgomery,Maxwell AFB,GA,None,75,0,0.00%
1040,SO,AL,DCU,Decatur,Pryor Field Regional,GA,None,52,14,271.43%
1155,SO,AL,ASN,Talladega,Talladega Municipal,GA,None,32,0,0.00%
1207,SO,AL,EKY,Bessemer,Bessemer,GA,None,25,0,0.00%
1268,SO,AL,SCD,Sylacauga,Merkel Field Sylacauga Municipal,GA,None,21,0,0.00%
1288,SO,AL,EUF,Eufaula,Weedon Field,GA,None,19,0,0.00%
1358,SO,AL,EDN,Enterprise,Enterprise Municipal,GA,None,14,0,0.00%
1359,SO,AL,EET,Alabaster,Shelby County,GA,None,14,0,0.00%
1480,SO,AL,MDQ,Huntsville,Huntsville Executive Tom Sharp Jr Field,GA,None,8,2,300.00%
1494,SO,AL,1R8,Bay Minette,Bay Minette Municipal,GA,None,7,0,0.00%
1575,SO,AL,GAD,Gadsden,Northeast Alabama Regional,GA,None,5,0,0.00%
1594,SO,AL,SEM,Selma,Craig Field,GA,None,5,0,0.00%
1603,SO,AL,09A,Butler,Butler-Choctaw County,GA,None,4,23,-82.61%
1667,SO,AL,AIV,Aliceville,George Downer,GA,None,3,0,0.00%
1729,SO,AL,4R3,Jackson,Jackson Municipal,GA,None,2,0,0.00%
1815,SO,AL,ALX,Alexander City,Thomas C Russell Field,GA,None,1,0,0.00%
1869,SO,AL,TOI,Troy,Troy Municipal at N Kenneth Campbell Field,GA,None,1,0,0.00%
94,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"1,031,258","979,530",5.28%
106,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"759,127","698,257",8.72%
244,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"86,973","85,726",1.45%
303,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"37,599","34,101",10.26%
459,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"5,839","4,785",22.03%
468,SW,AR,HRO,Harrison,Boone County,CS,None,"5,307","4,371",21.41%
477,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,"4,775","2,654",79.92%
511,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,"3,655","1,475",147.80%
787,SW,AR,FYV,Fayetteville,Drake Field,GA,None,247,382,-35.34%
842,SW,AR,ROG,Rogers,Rogers Executive - Carter Field,GA,None,164,29,465.52%
860,SW,AR,ASG,Springdale,Springdale Municipal,GA,None,136,6,2166.67%
967,SW,AR,VBT,Bentonville,Bentonville Municipal/Louise M Thaden Field,GA,None,75,0,0.00%
1011,SW,AR,SGT,Ulm,Stuttgart Municipal Carl Humphrey Field,GA,None,60,2,2900.00%
1209,SW,AR,HKA,Blytheville,Blytheville Municipal,GA,None,25,0,0.00%
1369,SW,AR,RUE,Russellville,Russellville Regional,GA,None,14,5,180.00%
1399,SW,AR,PBF,Pine Bluff,Pine Bluff Regional Airport Grider Field,GA,None,12,0,0.00%
1444,SW,AR,BPK,Mountain Home,Baxter County,GA,None,9,3,200.00%
1488,SW,AR,SRC,Searcy,Searcy Municipal,GA,None,8,3,166.67%
1507,SW,AR,MEZ,Mena,Mena Intermountain Municipal,GA,None,7,0,0.00%
1531,SW,AR,DEQ,De Queen,J Lynn Helms Sevier County,GA,None,6,0,0.00%
1553,SW,AR,SLG,Siloam Springs,Smith Field,GA,None,6,0,0.00%
1609,SW,AR,AWM,West Memphis,West Memphis Municipal,GA,None,4,0,0.00%
1614,SW,AR,BYH,Blytheville,Arkansas International,GA,None,4,0,0.00%
1644,SW,AR,ORK,North Little Rock,North Little Rock Municipal,GA,None,4,0,0.00%
1650,SW,AR,SUZ,Benton,Saline County Regional,GA,None,4,0,0.00%
1669,SW,AR,ARG,Walnut Ridge,Walnut Ridge Regional,GA,None,3,0,0.00%
1679,SW,AR,CXW,Conway,Cantrell Field,GA,None,3,0,0.00%
1691,SW,AR,HBZ,Heber Springs,Heber Springs Municipal,GA,None,3,0,0.00%
1743,SW,AR,BVX,Batesville,Batesville Regional,GA,None,2,1,100.00%
1845,SW,AR,M19,Newport,Newport Regional,GA,None,1,0,0.00%
255,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"74,495","71,401",4.33%
571,WP,AS,FAQ,Fitiuta,Fitiuta,GA,None,"2,384","2,406",-0.91%
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,"21,622,580","21,185,458",2.06%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,753,227","1,669,928",4.99%
105,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"778,972","704,247",10.61%
170,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"289,278","336,255",-13.97%
214,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"131,294","129,949",1.04%
249,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"79,731","79,564",0.21%
261,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"67,793","70,710",-4.13%
325,WP,AZ,PGA,Page,Page Municipal,P,N,"25,387","21,347",18.93%
408,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,"10,337","5,888",75.56%
194,WP,AZ,1G4,Peach Springs,Grand Canyon West,GA,None,"175,956","258,038",-31.81%
433,WP,AZ,1Z1,Whitmore,Grand Canyon Bar Ten Airstrip,GA,None,"7,586","7,983",-4.97%
497,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,"4,042","4,917",-17.80%
569,WP,AZ,SDL,Scottsdale,Scottsdale,GA,None,"2,390",953,150.79%
682,WP,AZ,DMA,Tucson,Davis Monthan AFB,GA,None,740,362,104.42%
718,WP,AZ,CHD,Chandler,Chandler Municipal,GA,None,516,"1,689",-69.45%
821,WP,AZ,DVT,Phoenix,Phoenix Deer Valley,GA,None,189,12,1475.00%
858,WP,AZ,GYR,Goodyear,Phoenix Goodyear,GA,None,139,45,208.89%
880,WP,AZ,0V7,Kayenta,Kayenta,GA,None,120,62,93.55%
918,WP,AZ,GEU,Glendale,Glendale Municipal,GA,None,98,10,880.00%
936,WP,AZ,AVQ,Marana,Marana Regional,GA,None,87,9,866.67%
955,WP,AZ,SEZ,Sedona,Sedona,GA,None,79,12,558.33%
957,WP,AZ,L41,Marble Canyon,Marble Canyon,GA,None,78,66,18.18%
1082,WP,AZ,IGM,Kingman,Kingman,GA,None,44,7,528.57%
1090,WP,AZ,L37,Peach Springs,Grand Canyon Caverns,GA,None,43,12,258.33%
1211,WP,AZ,INW,Winslow,Winslow-Lindbergh Regional,GA,None,25,0,0.00%
1231,WP,AZ,FFZ,Mesa,Falcon Field,GA,None,23,3,666.67%
1256,WP,AZ,40G,Grand Canyon,Valle,GA,None,21,0,0.00%
1265,WP,AZ,HII,Lake Havasu City,Lake Havasu City,GA,None,21,14,50.00%
1329,WP,AZ,SAD,Safford,Safford Regional,GA,None,16,0,0.00%
1384,WP,AZ,OLS,Nogales,Nogales International,GA,None,13,0,0.00%
1408,WP,AZ,DUG,Douglas,Bisbee Douglas International,GA,None,11,0,0.00%
1504,WP,AZ,JTC,Springerville,Springerville Municipal,GA,None,7,0,0.00%
1545,WP,AZ,MZJ,Pinal (County),Pinal Airpark,GA,None,6,15,-60.00%
1646,WP,AZ,P33,Willcox,Cochise County,GA,None,4,0,0.00%
1683,WP,AZ,E25,Wickenburg,Wickenburg Municipal,GA,None,3,6,-50.00%
1825,WP,AZ,CGZ,Casa Grande,Casa Grande Municipal,GA,None,1,0,0.00%
1830,WP,AZ,E60,Eloy,Eloy Municipal,GA,None,1,0,0.00%
1833,WP,AZ,FHU,Fort Huachuca,Sierra Vista Municipal-Libby AAF,GA,None,1,110,-99.09%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,"42,624,050","41,232,432",3.38%
7,WP,CA,SFO,San Francisco,San Francisco International,P,L,"27,790,717","26,900,048",3.31%
24,WP,CA,SAN,San Diego,San Diego International,P,L,"12,174,224","11,139,933",9.28%
36,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,"7,032,851","6,130,878",14.71%
37,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,"6,686,603","6,413,842",4.25%
40,WP,CA,SMF,Sacramento,Sacramento International,P,M,"5,907,629","5,341,595",10.60%
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,"5,201,642","5,082,716",2.34%
56,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,680,240","2,402,106",11.58%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,498,993","2,247,645",11.18%
69,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,908,635","1,830,745",4.25%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"1,163,883","1,055,970",10.22%
99,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"853,538","755,140",13.03%
140,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,"403,745","356,608",13.22%
175,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"235,570","197,594",19.22%
182,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,"217,480","195,296",11.36%
189,WP,CA,MRY,Monterey,Monterey Regional,P,N,"186,806","197,099",-5.22%
231,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"105,104","99,472",5.66%
236,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"98,908","96,201",2.81%
258,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,"69,575","65,932",5.53%
293,WP,CA,RDD,Redding,Redding Municipal,P,N,"42,775","42,361",0.98%
336,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,"23,522","21,352",10.16%
341,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"23,008","24,527",-6.19%
381,WP,CA,CCR,Concord,Buchanan Field,P,N,"13,077","14,517",-9.92%
308,WP,CA,RIV,Riverside,March ARB,GA,None,"35,529","18,279",94.37%
434,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,"7,355","8,318",-11.58%
441,WP,CA,IPL,Imperial,Imperial County,CS,None,"6,648","6,136",8.34%
455,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,"5,907","6,802",-13.16%
458,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,"5,856","5,931",-1.26%
492,WP,CA,VNY,Van Nuys,Van Nuys,GA,None,"4,208","1,404",199.72%
587,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,GA,None,"2,073",12,17175.00%
630,WP,CA,NKX,San Diego,Miramar MCAS (Joe Foss Field),GA,None,"1,311","1,860",-29.52%
637,WP,CA,APC,Napa,Napa County,GA,None,"1,211",283,327.92%
653,WP,CA,TRK,Truckee,Truckee-Tahoe,GA,None,"1,065","12,792",-91.67%
660,WP,CA,SUU,Fairfield,Travis AFB,GA,None,985,963,2.28%
696,WP,CA,NTD,Point Mugu,Point Mugu NAS,GA,None,659,"1,045",-36.94%
697,WP,CA,NZY,San Diego,North Island NAS /Halsey Field/,GA,None,658,349,88.54%
717,WP,CA,NJK,El Centro,El Centro NAF (Vraciu Field),GA,None,529,551,-3.99%
719,WP,CA,TRM,Palm Springs,Jacqueline Cochran Regional,GA,None,515,123,318.70%
728,WP,CA,LVK,Livermore,Livermore Municipal,GA,None,472,2,23500.00%
737,WP,CA,CMA,Camarillo,Camarillo,GA,None,440,38,1057.89%
747,WP,CA,NUQ,Mountain View,Moffett Federal Airfield,GA,None,375,13,2784.62%
750,WP,CA,SMO,Santa Monica,Santa Monica Municipal,GA,None,363,123,195.12%
761,WP,CA,MYF,San Diego,Montgomery-Gibbs Executive,GA,None,322,0,0.00%
784,WP,CA,SQL,San Carlos,San Carlos,GA,None,257,4,6325.00%
803,WP,CA,UDD,Palm Springs,Bermuda Dunes,GA,None,219,3,7200.00%
816,WP,CA,HWD,Hayward,Hayward Executive,GA,None,201,10,1910.00%
833,WP,CA,MHR,Sacramento,Sacramento Mather,GA,None,176,27,551.85%
866,WP,CA,DVO,Novato,Gnoss Field,GA,None,128,0,0.00%
890,WP,CA,PRB,Paso Robles,Paso Robles Municipal,GA,None,114,14,714.29%
891,WP,CA,SBD,San Bernardino,San Bernardino International,GA,None,114,20,470.00%
915,WP,CA,SAC,Sacramento,Sacramento Executive,GA,None,100,29,244.83%
922,WP,CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,GA,None,95,0,0.00%
925,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,GA,None,93,35,165.71%
940,WP,CA,TOA,Torrance,Zamperini Field,GA,None,85,12,608.33%
943,WP,CA,GOO,Grass Valley,Nevada County,GA,None,84,40,110.00%
948,WP,CA,NUC,San Clemente Island,San Clemente Island NALF/Frederick Sherman Field,GA,None,82,0,0.00%
965,WP,CA,OXR,Oxnard,Oxnard,GA,None,75,10,650.00%
973,WP,CA,VIS,Visalia,Visalia Municipal,GA,None,73,3,2333.33%
982,WP,CA,TVL,South Lake Tahoe,Lake Tahoe,GA,None,70,26,169.23%
983,WP,CA,WVI,Watsonville,Watsonville Municipal,GA,None,70,1,6900.00%
999,WP,CA,SDM,San Diego,Brown Field Municipal,GA,None,65,83,-21.69%
1004,WP,CA,SEE,San Diego,Gillespie Field,GA,None,62,11,463.64%
1014,WP,CA,VCV,Victorville,Southern California Logistics,GA,None,60,"19,337",-99.69%
1021,WP,CA,VBG,Lompoc,Vandenberg AFB,GA,None,58,0,0.00%
1035,WP,CA,OVE,Oroville,Oroville Municipal,GA,None,54,0,0.00%
1042,WP,CA,MCC,Sacramento,McClellan Airfield,GA,None,52,15,246.67%
1081,WP,CA,CXL,Calexico,Calexico International,GA,None,44,0,0.00%
1110,WP,CA,RAL,Riverside,Riverside Municipal,GA,None,39,8,387.50%
1114,WP,CA,CIC,Chico,Chico Municipal,GA,None,38,0,0.00%
1135,WP,CA,RNM,Ramona,Ramona,GA,None,35,0,0.00%
1162,WP,CA,POC,La Verne,Brackett Field,GA,None,31,0,0.00%
1208,WP,CA,HJO,Hanford,Hanford Municipal,GA,None,25,2,1150.00%
1215,WP,CA,SNS,Salinas,Salinas Municipal,GA,None,25,0,0.00%
1221,WP,CA,BIH,Bishop,Bishop,GA,None,24,1,2300.00%
1226,WP,CA,MER,Atwater,Castle,GA,None,24,0,0.00%
1242,WP,CA,BAB,Marysville,Beale AFB,GA,None,22,0,0.00%
1254,WP,CA,VCB,Vacaville,Nut Tree,GA,None,22,0,0.00%
1280,WP,CA,WJF,Lancaster,General Wm J Fox Airfield,GA,None,20,0,0.00%
1287,WP,CA,EDW,Edwards,Edwards AFB,GA,None,19,51,-62.75%
1308,WP,CA,PTV,Porterville,Porterville Municipal,GA,None,18,0,0.00%
1347,WP,CA,LLR,Littleriver,Little River,GA,None,15,0,0.00%
1349,WP,CA,SIY,Montague,Siskiyou County,GA,None,15,2,650.00%
1357,WP,CA,CNO,Chino,Chino,GA,None,14,23,-39.13%
1417,WP,CA,PAO,Palo Alto,Palo Alto,GA,None,11,6,83.33%
1432,WP,CA,MYV,Marysville,Yuba County,GA,None,10,0,0.00%
1457,WP,CA,RBL,Red Bluff,Red Bluff Municipal,GA,None,9,0,0.00%
1463,WP,CA,UKI,Ukiah,Ukiah Municipal,GA,None,9,0,0.00%
1472,WP,CA,DWA,Davis,Yolo County,GA,None,8,0,0.00%
1521,WP,CA,2O3,Angwin,Angwin-Parrett Field,GA,None,6,0,0.00%
1533,WP,CA,F70,Riverside (County),French Valley,GA,None,6,21,-71.43%
1542,WP,CA,MHV,Mojave,Mojave Air and Space Port,GA,None,6,3,100.00%
1583,WP,CA,LSN,Los Banos,Los Banos Municipal,GA,None,5,0,0.00%
1588,WP,CA,O69,Petaluma,Petaluma Municipal,GA,None,5,0,0.00%
1606,WP,CA,3O8,Coalinga,Harris Ranch,GA,None,4,0,0.00%
1608,WP,CA,APV,Apple Valley,Apple Valley,GA,None,4,0,0.00%
1619,WP,CA,CVH,Hollister,Hollister Municipal,GA,None,4,1,300.00%
1631,WP,CA,IYK,Inyokern,Inyokern,GA,None,4,444,-99.10%
1641,WP,CA,O46,Weed,Weed,GA,None,4,0,0.00%
1652,WP,CA,TNP,Twentynine Palms,Twentynine Palms,GA,None,4,0,0.00%
1656,WP,CA,WHP,Los Angeles,Whiteman,GA,None,4,0,0.00%
1657,WP,CA,WLW,Willows,Willows-Glenn County,GA,None,4,0,0.00%
1665,WP,CA,A30,Fort Jones,Scott Valley,GA,None,3,3,0.00%
1680,WP,CA,DAG,Daggett,Barstow-Daggett,GA,None,3,0,0.00%
1693,WP,CA,HMT,Hemet,Hemet-Ryan,GA,None,3,0,0.00%
1702,WP,CA,O22,Columbia,Columbia,GA,None,3,0,0.00%
1741,WP,CA,BLH,Blythe,Blythe,GA,None,2,0,0.00%
1751,WP,CA,EDU,Davis,University,GA,None,2,0,0.00%
1760,WP,CA,HAF,Half Moon Bay,Half Moon Bay,GA,None,2,0,0.00%
1765,WP,CA,L05,Kernville,Kern Valley,GA,None,2,0,0.00%
1766,WP,CA,L08,Borrego Springs,Borrego Valley,GA,None,2,6,-66.67%
1770,WP,CA,LPC,Lompoc,Lompoc,GA,None,2,0,0.00%
1787,WP,CA,PVF,Placerville,Placerville,GA,None,2,0,0.00%
1803,WP,CA,1O3,Lodi,Lodi,GA,None,1,0,0.00%
1804,WP,CA,2O1,Quincy,Gansner Field,GA,None,1,2,-50.00%
1823,WP,CA,CCB,Upland,Cable,GA,None,1,0,0.00%
1829,WP,CA,E36,Georgetown,Georgetown,GA,None,1,0,0.00%
1844,WP,CA,L52,Oceano,Oceano County,GA,None,1,0,0.00%
1846,WP,CA,MAE,Madera,Madera Municipal,GA,None,1,0,0.00%
1849,WP,CA,MPI,Mariposa,Mariposa-Yosemite,GA,None,1,0,0.00%
1851,WP,CA,O02,Beckwourth,Nervino,GA,None,1,0,0.00%
1852,WP,CA,O24,Lee Vining,Lee Vining,GA,None,1,0,0.00%
1853,WP,CA,O89,Fall River Mills,Fall River Mills,GA,None,1,0,0.00%
5,NM,CO,DEN,Denver,Denver International,P,L,"31,362,941","29,809,097",5.21%
100,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"845,742","815,839",3.67%
171,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"285,448","244,808",16.60%
181,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"221,978","223,452",-0.66%
188,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"189,225","186,917",1.23%
195,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"173,863","154,577",12.48%
213,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"133,924","123,206",8.70%
233,NM,CO,HDN,Hayden,Yampa Valley,P,N,"100,079","96,403",3.81%
307,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"36,238","32,250",12.37%
405,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,"10,459","3,833",172.87%
426,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"8,045","7,890",1.96%
436,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,"7,125","6,494",9.72%
559,NM,CO,FNL,Loveland,Northern Colorado Regional,CS,None,"2,538","3,198",-20.64%
594,NM,CO,TEX,Telluride,Telluride Regional,GA,None,"1,910","2,392",-20.15%
602,NM,CO,APA,Englewood,Centennial,GA,None,"1,767",338,422.78%
655,NM,CO,BJC,Broomfield,Rocky Mountain Metropolitan,GA,None,"1,044",331,215.41%
706,NM,CO,RIL,Rifle,Rifle Garfield County,GA,None,581,131,343.51%
790,NM,CO,BKF,Aurora,Buckley AFB,GA,None,245,4,6025.00%
946,NM,CO,PSO,Pagosa Springs,Stevens Field,GA,None,83,0,0.00%
1049,NM,CO,EEO,Meeker,Meeker Coulter Field,GA,None,50,0,0.00%
1144,NM,CO,LAA,Lamar,Lamar Municipal,GA,None,34,0,0.00%
1160,NM,CO,GXY,Greeley,Greeley-Weld County,GA,None,31,2,1450.00%
1169,NM,CO,LXV,Leadville,Lake County,GA,None,30,0,0.00%
1315,NM,CO,LMO,Longmont,Vance Brand,GA,None,17,0,0.00%
1375,NM,CO,FTG,Watkins,Front Range,GA,None,13,0,0.00%
1401,NM,CO,TAD,Trinidad,Perry Stokes,GA,None,12,0,0.00%
1520,NM,CO,20V,Kremmling,Mc Elroy Airfield,GA,None,6,0,0.00%
1522,NM,CO,33V,Walden,Walden-Jackson County,GA,None,6,0,0.00%
1666,NM,CO,AEJ,Buena Vista,Central Colorado Regional,GA,None,3,2,50.00%
