Rank,RO,ST,Locid,city,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
1784,GL,WI,PBH,Phillips,Price County,GA,None,2,0,0.00%
1817,GL,WI,AUW,Wausau,Wausau Downtown,GA,None,1,0,0.00%
672,WP,WK,AWK,Wake Island,Wake Island Airfield,GA,None,872,682,27.86%
183,EA,WV,CRW,Charleston,Yeager,P,N,"216,873","202,778",6.95%
232,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"101,701","103,724",-1.95%
304,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"36,917","25,105",47.05%
407,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,"10,359","5,495",88.52%
457,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,"5,890","5,698",3.37%
531,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"3,182","4,155",-23.42%
565,EA,WV,BKW,Beckley,Raleigh County Memorial,GA,None,"2,471","1,556",58.80%
996,EA,WV,HLG,Wheeling,Wheeling Ohio County,GA,None,66,0,0.00%
1348,EA,WV,MRB,Martinsburg,Eastern WV Regional/Shepherd Field,GA,None,15,0,0.00%
1473,EA,WV,EKN,Elkins,Elkins-Randolph County-Jennings Randolph Field,GA,None,8,0,0.00%
1612,EA,WV,BLF,Bluefield,Mercer County,GA,None,4,0,0.00%
1870,EA,WV,W22,Buckhannon,Upshur County Regional,GA,None,1,0,0.00%
144,NM,WY,JAC,Jackson,Jackson Hole,P,N,"381,539","341,662",11.67%
245,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"86,905","96,843",-10.26%
298,NM,WY,COD,Cody,Yellowstone Regional,P,N,"39,407","39,578",-0.43%
321,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,"27,136","29,271",-7.29%
340,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,"23,020","18,109",27.12%
361,NM,WY,LAR,Laramie,Laramie Regional,P,N,"17,188","16,072",6.94%
380,NM,WY,SHR,Sheridan,Sheridan County,P,N,"13,182","10,876",21.20%
390,NM,WY,RIW,Riverton,Riverton Regional,P,N,"11,811","8,277",42.70%
529,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,"3,234","1,894",70.75%
910,NM,WY,SAA,Saratoga,Shively Field,GA,None,103,21,390.48%
1134,NM,WY,PNA,Pinedale,Ralph Wenz Field,GA,None,35,0,0.00%
1199,NM,WY,RWL,Rawlins,Rawlins Municipal/Harvey Field,GA,None,26,0,0.00%
1206,NM,WY,DWX,Dixon,Dixon,GA,None,25,0,0.00%
1262,NM,WY,EVW,Evanston,Evanston-Uinta County Burns Field,GA,None,21,0,0.00%
1497,NM,WY,BYG,Buffalo,Johnson County,GA,None,7,2,250.00%
1499,NM,WY,ECS,Newcastle,Mondell Field,GA,None,7,3,133.33%
1628,NM,WY,HSG,Thermopolis,Hot Springs County,GA,None,4,0,0.00%
1721,NM,WY,W43,Hulett,Hulett Municipal,GA,None,3,0,0.00%
1736,NM,WY,AFO,Afton,Afton Municipal,GA,None,2,0,0.00%
1754,NM,WY,FBR,Fort Bridger,Fort Bridger,GA,None,2,0,0.00%
1797,NM,WY,TOR,Torrington,Torrington Municipal,GA,None,2,0,0.00%
1831,NM,WY,EMM,Kemmerer,Kemmerer Municipal,GA,None,1,0,0.00%
1835,NM,WY,GEY,Greybull,South Big Horn County,GA,None,1,0,0.00%
1872,NM,WY,WRL,Worland,Worland Municipal,GA,None,1,0,0.00%
